timestamp,aX,aY,aZ,gX,gY,gZ
8122.384,0.849,0.121,0.068,49.744,48.401,66.65
8142.792,0.875,0.117,0.083,48.218,42.664,50.903
8163.2,0.915,0.193,0.125,46.082,43.457,48.889
8183.608,0.89,0.285,-0.057,47.668,48.462,45.105
8204.016,0.932,0.436,-0.059,39.246,39.795,42.48
8224.424,0.919,0.396,-0.072,27.222,31.982,21.79
8244.832,0.905,0.33,-0.067,22.522,24.902,15.259
8265.24,0.906,0.297,-0.028,17.212,23.987,9.766
8285.648,0.893,0.273,-0.154,18.677,27.954,5.615
8306.056,0.946,0.298,-0.111,14.526,9.888,0.244
8326.464,0.942,0.213,-0.104,14.648,10.254,-7.568
8346.872,0.947,0.187,-0.138,9.827,9.155,-8.484
8367.28,0.958,0.116,-0.142,4.15,2.38,-10.681
8387.688,0.968,0.031,-0.088,3.723,-4.944,-12.329
8408.096,0.974,-0.019,-0.067,8.545,-5.737,-11.414
8428.504,1,-0.02,-0.023,12.39,-3.479,-8.301
8448.912,1.019,-0.01,-0.009,9.216,-1.831,-7.751
8469.32,1.008,-0.041,-0.026,7.263,0.977,-7.446
8489.728,1.001,-0.042,-0.024,7.935,-0.854,-6.836
8510.136,1,-0.078,0.011,7.324,-3.052,-8.545
8530.544,1.002,-0.094,0.054,5.005,-1.892,-6.897
8550.952,1,-0.103,0.031,0,1.648,-3.479
8571.36,0.999,-0.111,0.041,-7.141,9.094,0.061
8591.768,0.983,-0.109,-0.018,-2.686,11.169,0.793
8612.176,0.981,-0.089,-0.06,2.747,5.92,0.61
8632.584,0.966,-0.151,-0.011,4.761,2.38,1.526
8652.992,0.978,-0.088,-0.013,1.709,5.493,8.24
8673.4,0.973,-0.044,-0.034,-0.916,5.981,7.446
8693.808,0.96,-0.061,-0.042,0.793,4.761,7.324
8714.216,0.968,-0.015,-0.064,-1.77,6.348,9.277
8734.624,0.97,-0.003,-0.084,-1.709,5.615,8.606
8755.032,0.986,0.025,-0.097,1.16,2.93,6.226
8775.44,0.991,0.011,-0.092,1.831,-0.61,0.977
8795.848,0.984,-0.029,-0.054,2.319,-1.465,-1.099
8816.256,0.984,-0.055,-0.059,2.991,-1.892,-1.465
8836.664,0.98,-0.105,-0.055,-0.305,-1.038,0.305
8857.072,0.987,-0.076,-0.038,-1.526,-1.404,4.456
8877.48,0.977,-0.071,-0.025,1.465,0.122,2.441
8897.888,0.99,-0.039,-0.057,-1.282,2.563,5.249
8918.296,0.989,-0.049,-0.04,2.686,0.732,2.502
8938.704,0.996,-0.045,-0.028,2.686,0.122,2.441
8959.112,0.993,-0.052,-0.033,2.625,0.488,2.441
8979.52,1.004,-0.003,-0.021,3.723,1.16,1.831
8999.928,0.992,-0.052,-0.036,4.578,1.831,0.183
9020.336,0.996,-0.008,-0.04,1.709,2.258,2.197
9040.744,0.981,-0.052,-0.058,0,4.761,2.136
9061.152,0.988,-0.005,-0.066,2.869,2.686,2.38
