aX,aY,aZ,gX,gY,gZ
0.951,-0.033,0.291,-0.549,-0.488,-3.479
0.967,0.001,0.281,-0.183,-2.136,-1.160
0.950,-0.019,0.250,0.305,0.977,-5.310
0.953,-0.048,0.209,1.343,3.418,-3.662
0.974,0.085,0.242,-3.479,2.563,0.671
0.987,-0.014,0.185,-5.920,9.644,-5.920
0.981,-0.014,0.140,-0.549,11.963,-2.075
0.992,-0.012,0.136,-0.244,7.935,-3.296
1.005,0.039,0.245,2.258,3.235,-1.526
0.989,0.092,0.193,2.808,7.874,-4.150
0.970,-0.024,0.192,-4.028,-1.953,-13.977
0.956,-0.040,0.217,-7.507,-2.136,-11.169
0.950,-0.061,0.288,-9.583,-6.165,-8.789
0.933,-0.107,0.257,-6.409,0.305,-10.742
0.935,-0.167,0.259,-11.597,-0.366,-7.690
0.943,-0.104,0.246,-10.498,4.517,5.005
0.969,0.037,0.191,-6.714,5.127,9.827
0.970,0.035,0.226,-2.563,-1.038,-2.686
0.970,-0.022,0.232,-0.854,-1.526,-6.226
0.979,-0.013,0.271,1.831,-0.549,-8.057
0.976,-0.076,0.233,2.319,0.549,-5.188
1.002,0.014,0.235,1.892,0.366,-1.465
0.994,-0.101,0.256,-2.563,0.000,-7.935
0.988,-0.104,0.238,-3.174,3.357,-1.404
0.983,-0.001,0.218,-1.953,2.258,4.211
0.979,-0.058,0.220,-5.859,2.258,-0.366
0.966,-0.036,0.293,-1.038,2.258,5.371
0.950,0.044,0.239,-2.075,8.667,2.869
0.924,-0.061,0.177,-3.296,7.080,-2.991
0.921,-0.051,0.237,4.395,4.395,1.953
0.920,-0.019,0.183,1.404,6.348,-1.526
0.915,-0.087,0.211,2.869,3.479,0.488
0.922,0.008,0.161,3.052,5.676,4.944
0.930,-0.006,0.139,0.610,1.648,1.770
0.933,-0.021,0.188,-1.038,-0.671,0.244
0.940,-0.020,0.196,1.892,-2.686,1.099
0.933,-0.007,0.215,2.869,-2.258,-1.038
0.934,-0.044,0.230,3.052,-3.296,0.305
0.942,-0.028,0.211,1.648,-2.197,-0.610
0.952,-0.073,0.248,1.831,-3.845,-0.122
0.969,-0.050,0.229,1.221,-2.075,3.052
0.967,-0.003,0.267,-0.244,-2.991,1.465
0.982,-0.075,0.249,-2.380,-1.953,-0.854
0.991,0.028,0.293,0.977,-2.136,3.418
0.993,-0.009,0.245,-1.648,0.793,-2.747
0.988,-0.033,0.294,0.610,-2.930,-2.258
0.985,-0.092,0.271,1.526,0.366,-4.211

-0.220,1.561,0.888,179.626,-199.585,76.782
-0.262,1.394,0.655,135.925,-160.583,-41.260
-0.360,0.621,0.643,112.610,-213.867,-158.325
-0.406,0.082,0.901,100.525,-261.902,-206.665
-0.359,-0.196,1.695,123.840,-288.330,-181.335
-0.218,-0.045,2.605,149.902,-278.198,-162.354
-0.135,-0.145,2.764,203.308,-187.866,-178.833
-0.331,-0.698,2.363,220.581,-63.538,-223.206
-0.386,-0.963,1.982,180.786,-9.827,-227.661
-0.135,-0.713,2.239,103.455,-16.052,-183.655
-0.153,-0.081,1.821,138.184,65.796,-158.875
-0.196,0.126,1.934,92.346,64.392,-207.031
-0.519,-0.651,1.797,23.376,102.783,-328.918
-0.569,-1.306,1.710,-47.913,114.563,-388.428
-0.752,-1.544,1.969,-22.217,110.474,-277.283
-0.823,-1.419,2.102,-20.203,167.847,-206.787
-0.932,-1.679,1.895,-39.612,214.355,-213.318
-0.865,-1.823,1.424,3.113,237.000,-175.354
-0.886,-1.901,1.478,7.874,210.876,-144.897
-0.781,-1.951,1.438,-13.489,231.689,-96.558
-0.818,-1.519,1.296,64.331,245.117,-29.968
-0.815,-1.628,1.191,47.058,252.686,-36.438
-0.629,-1.611,0.730,75.134,266.357,2.197
-0.577,-1.364,0.553,93.018,241.150,36.133
-0.454,-1.448,0.564,15.930,218.018,27.222
-0.433,-1.606,0.506,18.860,216.797,34.119
-0.315,-1.413,0.208,49.744,220.886,89.661
-0.273,-1.145,-0.032,105.225,200.500,118.652
-0.231,-1.037,-0.052,81.421,145.691,118.835
-0.224,-0.979,0.051,67.627,114.868,140.625
-0.216,-0.755,0.045,89.844,107.910,158.997
-0.190,-0.588,0.100,99.915,81.543,173.279
-0.096,-0.193,0.080,100.586,70.801,177.429
-0.069,-0.219,0.002,70.129,53.528,138.245
-0.086,-0.490,0.055,4.700,43.396,137.634
-0.067,-0.383,0.054,9.094,33.264,165.771
-0.011,-0.057,0.122,42.847,19.592,171.387
0.103,0.125,0.173,35.950,15.442,156.128
0.208,0.065,0.020,15.076,27.161,132.507
0.215,-0.052,-0.096,-10.620,28.381,126.282
0.298,0.173,-0.073,21.240,3.784,149.231
0.368,0.379,-0.003,49.988,-9.033,145.020
0.428,0.536,0.115,81.665,-27.466,114.197
0.410,0.255,0.051,36.072,-20.020,83.618
0.479,0.276,0.130,12.207,-28.381,116.211
0.619,0.705,0.281,39.490,-15.442,129.944
